Product,Quantity,Location,LastUpdated
Product A,25,Location 1,2023-09-01
Product B,50,Location 2,2023-09-01
Product C,30,Location 3,2023-09-01
Product D,15,Location 4,2023-09-01
Product A,20,Location 1,2023-09-02
Product B,45,Location 2,2023-09-02
Product C,28,Location 3,2023-09-02
Product D,12,Location 4,2023-09-02
Product A,18,Location 1,2023-09-03
Product B,42,Location 2,2023-09-03
Product C,26,Location 3,2023-09-03
Product D,11,Location 4,2023-09-03
Product A,15,Location 1,2023-09-04
Product B,40,Location 2,2023-09-04
Product C,24,Location 3,2023-09-04
Product D,10,Location 4,2023-09-04
Product A,12,Location 1,2023-09-05
Product B,38,Location 2,2023-09-05
Product C,22,Location 3,2023-09-05
Product D,9,Location 4,2023-09-05
Product A,10,Location 1,2023-09-06
Product B,35,Location 2,2023-09-06
Product C,20,Location 3,2023-09-06
Product D,8,Location 4,2023-09-06
Product A,8,Location 1,2023-09-07
Product B,32,Location 2,2023-09-07
Product C,18,Location 3,2023-09-07
Product D,7,Location 4,2023-09-07
Product A,6,Location 1,2023-09-08
Product B,29,Location 2,2023-09-08
Product C,16,Location 3,2023-09-08
Product D,6,Location 4,2023-09-08
Product A,4,Location 1,2023-09-09
Product B,26,Location 2,2023-09-09
Product C,14,Location 3,2023-09-09
Product D,5,Location 4,2023-09-09
Product A,2,Location 1,2023-09-10
Product B,23,Location 2,2023-09-10
Product C,12,Location 3,2023-09-10
Product D,4,Location 4,2023-09-10
Product A,0,Location 1,2023-09-11
Product B,20,Location 2,2023-09-11
Product C,10,Location 3,2023-09-11
Product D,3,Location 4,2023-09-11
Product A,0,Location 1,2023-09-12
Product B,18,Location 2,2023-09-12
Product C,8,Location 3,2023-09-12
Product D,2,Location 4,2023-09-12
Product A,0,Location 1,2023-09-13
Product B,16,Location 2,2023-09-13
Product C,6,Location 3,2023-09-13
Product D,1,Location 4,2023-09-13
Product A,0,Location 1,2023-09-14
Product B,14,Location 2,2023-09-14
Product C,4,Location 3,2023-09-14
Product D,0,Location 4,2023-09-14
Product A,0,Location 1,2023-09-15
Product B,12,Location 2,2023-09-15
Product C,2,Location 3,2023-09-15
Product D,0,Location 4,2023-09-15
Product A,0,Location 1,2023-09-16
Product B,10,Location 2,2023-09-16
Product C,0,Location 3,2023-09-16
Product D,0,Location 4,2023-09-16
Product A,0,Location 1,2023-09-17
Product B,8,Location 2,2023-09-17
Product C,0,Location 3,2023-09-17
Product D,0,Location 4,2023-09-17
Product A,0,Location 1,2023-09-18
Product B,6,Location 2,2023-09-18
Product C,0,Location 3,2023-09-18
Product D,0,Location 4,2023-09-18
Product A,0,Location 1,2023-09-19
Product B,4,Location 2,2023-09-19
Product C,0,Location 3,2023-09-19
Product D,0,Location 4,2023-09-19
Product A,0,Location 1,2023-09-20
Product B,2,Location 2,2023-09-20
Product C,0,Location 3,2023-09-20
Product D,0,Location 4,2023-09-20
Product A,0,Location 1,2023-09-21
Product B,0,Location 2,2023-09-21
Product C,0,Location 3,2023-09-21
Product D,0,Location 4,2023-09-21
Product A,0,Location 1,2023-09-22
Product B,0,Location 2,2023-09-22
Product C,0,Location 3,2023-09-22
Product D,0,Location 4,2023-09-22
Product A,0,Location 1,2023-09-23
Product B,0,Location 2,2023-09-23
Product C,0,Location 3,2023-09-23
Product D,0,Location 4,2023-09-23
Product A,0,Location 1,2023-09-24
Product B,0,Location 2,2023-09-24
Product C,0,Location 3,2023-09-24
Product D,0,Location 4,2023-09-24
Product A,0,Location 1,2023-09-25
Product B,0,Location 2,2023-09-25
Product C,0,Location 3,2023-09-25
Product D,0,Location 4,2023-09-25
Product A,0,Location 1,2023-09-26
Product B,0,Location 2,2023-09-26
Product C,0,Location 3,2023-09-26
Product D,0,Location 4,2023-09-26
Product A,0,Location 1,2023-09-27
Product B,0,Location 2,2023-09-27
Product C,0,Location 3,2023-09-27
Product D,0,Location 4,2023-09-27
Product A,0,Location 1,2023-09-28
Product B,0,Location 2,2023-09-28
Product C,0,Location 3,2023-09-28
Product D,0,Location 4,2023-09-28
Product A,0,Location 1,2023-09-29
Product B,0,Location 2,2023-09-29
Product C,0,Location 3,2023-09-29
Product D,0,Location 4,2023-09-29
Product A,0,Location 1,2023-09-30
Product B,0,Location 2,2023-09-30
Product C,0,Location 3,2023-09-30
Product D,0,Location 4,2023-09-30
